module title,abbreviation,module coordinator,module offered by,ects,method of grading,completion of modules,duration,module level,other prerequisites,contents,intended learning outcomes,courses,method of assessment,allocation of places,additional information,workload,teaching cycle,referred to in lpo i,module appears in,addititional information
"Business Processes Organisation, Business Software and Process Industries
Module offered by",12-ITA-161-m01,"holder of the Chair of Business Management and Business 
Faculty of Business Management and Economics","Module coordinator
holder of the Chair of Business Management and Business 
Faculty of Business Management and Economics
ECTS Method of grading
numerical grade
5
Module level
Duration
graduate
1 semester
Contents
ERP systems have become key elements of successful companies. Business processes in companies can no lon-
ger be managed without using such ERP systems. In financial departments of companies, such systems have be-
en used for a long time, but business processes e. g. for logistical tasks have so far not been supported by ERP 
solutions. This module explains how this issue could be resolved as well as what constraints and what depen-
dencies have to be considered.
Intended learning outcomes
After completing this module, students should be able to
(i) know about actual business processes in companies;
(ii) understand selected problems in the organization and design of logistical business processes and work out 
solutions;
(iii) know and design basic data structures and data flows of an ERP system;
(iv) map businesss processes within an ERP system;
(v) consider the specifics of a certain industry (e. g. the process industry) when organizing business processes;
(vi) map the core business processes within an ERP system.
Courses (type, number of weekly contact hours, language — if other than German)
V (2) + Ü (2)
Method of assessment (type, scope, language — if other than German, examination offered — if not every semester, information on whether 
module is creditable for bonus)
written examination (approx. 60 minutes)
Language of assessment: German and/or English
creditable for bonus
Allocation of places
20 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.
Additional information
--
Workload
150 h
Teaching cycle
--
Referred to in LPO I  (examination regulations for teaching-degree programmes)
--
Module appears in
Master's degree (1 major) Economathematics (2016)



Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)





Abbreviation
12-ITA-161-m01

Module offered by
Faculty of Business Management and Economics",5,numerical grade,,,,,"ERP systems have become key elements of successful companies. Business processes in companies can no lon-
ger be managed without using such ERP systems. In financial departments of companies, such systems have be-
en used for a long time, but business processes e. g. for logistical tasks have so far not been supported by ERP 
solutions. This module explains how this issue could be resolved as well as what constraints and what depen-
dencies have to be considered.","After completing this module, students should be able to
(i) know about actual business processes in companies;
(ii) understand selected problems in the organization and design of logistical business processes and work out 
solutions;
(iii) know and design basic data structures and data flows of an ERP system;
(iv) map businesss processes within an ERP system;
(v) consider the specifics of a certain industry (e. g. the process industry) when organizing business processes;
(vi) map the core business processes within an ERP system.",V (2) + Ü (2),,"20 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,150 h,--,--,"Master's degree (1 major) Economathematics (2016)



Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)",--
Work and Information,12-M-AGAF-161-m01,holder of the Chair of Business Management and Business,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module discusses relevant principles, concepts and applications of business information processing and its 
impact on organisational and process structures in today's business world.","The expertise gained from other modules related to business management issues can be interpreted and clas-
sified in a certain way by participating in this module. For decisions in regards to human resources planning, in-
vestment, and a company's strategy, the students will get to know all the relevant concepts and interdependen-
cies, which come with taking information processing into account as the so called ""fourth"" factor of production.",V (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)",--
Work Order Planning for Automated Manufacturing,12-M-ATW1-161-m01,Holder of the Chair of Business Management and Business,Faculty of Business Management and Economics,5,numerical grade,,,,,"The idea of integration of business information systems is primarily practiced and developed as an ERP system 
in terms of business application areas, their temporal overlap (data warehouse), their spatial relationship (sup-
ply network) and connection of legal tasks (eGovernment). However, linking the commercial view of incoming cu-
stomer orders with the logistic or more technical view of the scheduling of production orders and the resulting 
consequences for the processes is a critical success factor.","Linking research and lectures of the Institute of Robotics and Telematics as well as the orientation of the Chair of 
Business Integration allows students a conceptual as well as practical insight into the challenges of this in the 
future essential part of the operational automation development.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)",--
,12-M-ATW2-161-m01,Holder of the Chair of Business Management and Business,Faculty of Business Management and Economics,5,numerical grade,,,,,"This course is a dummy module, e. g. for courses in the area of business informatics taken abroad.","The competences depend on the individual module, which has been taken to transfer these credits to the Univer-
sity of Wuerzburg.","V (2) + Ü (2)
Course type: alternatively S instead of V + Ü",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)



Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)",--
,12-M-ISR-192-m01,Holder of the Chair of Business Management and Business,Faculty of Business Management and Economics,5,numerical grade,,,,,"This course is a dummy module, e. g. for courses in the area of business informatics taken abroad.","The competences depend on the individual module, which has been taken to transfer these credits to the Univer-
sity of Wuerzburg.","V (2) + Ü (2)
Course type: alternatively S instead of V + Ü",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)



Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)",--
Information systems research,10-I=DB2-161-m01,Holder of the Chair of Business Management and Business,Institute of Computer Science,5,numerical grade,,,,,"The course provides an overview of theoretical scientific foundations, theories, research topics and methods of 
international research in business informatics.","The module provides students with knowledge of:
(i) Exploration of classical themes of WI / IS research;
(ii) Getting to know the relevant paradigms, theories and methods;
(iii) Recognition of the interfaces to other areas of business administration and management practice;
(iv) Gain experience in finding and evaluation of scientific literature",V (2) + Ü (2),,"40 places.
Should the number of applications exceed the number of available places, places will be allocated as follows:
(2) The remaining places will be allocated to students of other subjects.
(3) When places are allocated in accordance with (1) and (2) and the number of applications exceeds the number 
of available places, places will be allocated by lot among applicants from this group.",,150 h,--,--,,--
Databases 2,10-I=CB-161-m01,Dean of Studies Informatik (Computer Science),Institute of Computer Science,5,numerical grade,,,,,Data warehouses and data mining; web databases; introduction to Datalog.,"The students have advanced knowledge about relational databases, XML and data mining.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Aerospace Computer Science (2020)
Master's degree (1 major) eXtended Artificial Intelligence (xtAI) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): SE, 
IS, HCI."
Compiler Construction,10-I=IR-161-m01,holder of the Chair of Computer Science II,Institute of Computer Science,5,numerical grade,,,,,"Lexical analysis, syntactic analysis, semantics, compiler generators, code generators, code optimisation.","The students possess knowledge in the formal description of programming languages and their compilation. 
They are able to perform transformations between them with the help of finite automata, push-down automata 
and compiler generators.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Computational Mathematics (2022)
Master's degree (1 major) Mathematics (2022)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
SE,IT,IS,GE"
Information Retrieval,10-I=KI1-161-m01,Dean of Studies Informatik (Computer Science),Institute of Computer Science,5,numerical grade,,,,,"IR models (e. g. Boolean and vector space model, evaluation), processing of text (tokenising, text properties), 
data structures (e. g. inverted index), query elements (e. g. query operations, relevance feedback, query langua-
ges and paradigms, structured queries), search engine (e. g. architecture, crawling, interfaces, link analysis), me-
thods to support IR (e. g. recommendation systems, text clustering and classification, information extraction).","The students possess theoretical and practical knowledge in the area of information retrieval and have acquired 
the technical know-how to create a search engine.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's degree (1 major) Digital Humanities (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)



Master's degree (1 major) Mathematics (2019)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
IT,IS,HCI,GE"
Artificial Intelligence 1,10-I=KI2-161-m01,holder of the Chair of Computer Science VI,Institute of Computer Science,5,numerical grade,,,,,"Intelligent agents, uninformed and heuristic search, constraint problem solving, search with partial information, 
propositional and predicate logic and inference, knowledge representation.","The students possess theoretical and practical knowledge about artificial intelligence in the area of agents, 
search and logic and are able to assess possible applications.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Physics (2016)
Master's degree (1 major) Nanostructure Technology (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)



Master's degree (1 major) Mathematics (2019)
Master's degree (1 major) Nanostructure Technology (2020)
Master's degree (1 major) Physics (2020)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Aerospace Computer Science (2020)
Master's degree (1 major) Physics International (2020)
Master's degree (1 major) Quantum Engineering (2020)
Master's degree (1 major) Quantum Technology (2021)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
AT,SE,IS,HCI"
Artificial Intelligence 2,10-I=EL-161-m01,holder of the Chair of Computer Science VI,Institute of Computer Science,5,numerical grade,,,,,"Planning, probabilistic closure and Bayesian networks, utility theory and decidability problems, learning from 
observations, knowledge while learning, neural networks and statistical learning methods, reinforcement lear-
ning, processing of natural language.","The students possess theoretical and practical knowledge about artificial intelligence in the area of probabilistic 
closure, learning and language processing and are able to assess possible applications.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Aerospace Computer Science (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
AT,SE,IS,HCI,GE"
E-Learning,10-I=PA-161-m01,holder of the Chair of Computer Science VI,Institute of Computer Science,5,numerical grade,,,,,"Learning paradigms, learning system types, author systems, learning platforms, standards for learning systems, 
intelligent tutoring systems, student models, didactics, problem-oriented learning and case-based training sy-
stems, adaptive tutoring systems, computer-supported cooperative learning, evaluation of learning systems.","The students possess a theoretical and practical knowledge about eLearning and are able to assess possible ap-
plications.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's degree (1 major) Media Communication (2019)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
SE,IT,IS,HCI,GE"
Analysis and Design of Programs,10-I=PM-182-m01,holder of the Chair of Computer Science II,Institute of Computer Science,5,numerical grade,,,,,"Program analysis, model creation in software engineering, program quality, test of programs, process models.","The students are able to analyse programs, to use testing frameworks and metrics as well as to judge program 
quality.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Physics (2016)
Master's degree (1 major) Nanostructure Technology (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's degree (1 major) Nanostructure Technology (2020)
Master's degree (1 major) Physics (2020)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Physics International (2020)
Master's degree (1 major) Quantum Engineering (2020)
Master's degree (1 major) Quantum Technology (2021)
Master's degree (1 major) Computational Mathematics (2022)
Master's degree (1 major) Mathematics (2022)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
SE,IS,ES,GE"
Professional Project Management,10-I=AGIS-161-m01,holder of the Chair of Computer Science III,Institute of Computer Science,5,numerical grade,,,,,"Project goals, project assignment, project success criteria, business plan, environment analysis and stakeholder 
management, initialisation, definition, planning, execution/control, finishing of projects, reporting, project com-
munication and marketing, project organisation, team building and development, opportunity and risk manage-
ment; conflict and crisis management, change and claim management; contract and procurement management, 
quality management, work techniques, methods and tools; leadership and social skills in project management, 
program management, multiproject management, project portfolio management, PMOs; peculiarities of software 
projects; agile project management/SCRUM, combination of classic and agile methods.","The students possess practically relevant knowledge about the topics of production management and/or pro-
fessional project management. They are familiar with the critical success criteria and are able to initiate, define, 
plan, control and review projects.",V (4),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Management (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
exchange program Business Management and Economics (2022)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): SE, 
IT, IS, ES, LR, HCI, GE."
,10-HCI=RIS-182-m01,holder of the Chair of Computer Science I,Institute of Computer Science,5,numerical grade,,,,,"Algorithmic foundations of geographic information systems and their application in selected problems of acqui-
sition, processing, analysis and presentation of spatial information. Processes of discrete and continuous opti-
misation. Applications such as the creation of digital height models, working with GPS trajectories, tasks of spa-
tial planning as well as cartographic generalisation.","The students are able to formalise algorithmic problems in the field of geographic information systems as well as 
to select and improve suitable approaches to solving these problems.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Aerospace Computer Science (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
AT,IS,HCI"
Real-Time Interactive Systems,10-I=LP-172-m01,holder of the Chair of Computer Science IX,Institute of Computer Science,5,numerical grade,,,,,"This course provides an introduction into the requirements, concepts, and engineering art of highly interactive 
human-computer systems. Such systems are typically found in perceptual computing, Virtual, Augmented, Mixed 
Reality, computer games, and cyber-physical systems. Lately, these systems are often termed Real-Time Interac-
tive Systems (RIS) due to their common aspects.
The course covers theoretical models derived from the requirements of the application area as well as common 
hands-on and novel solutions necessary to tackle and fulfill these requirements. The first part of the course will 
concentrate on the conceptual principles characterizing real-time interactive systems. Questions answered are: 
What are the main requirements? How do we handle multiple modalities? How do we define the timeliness of 
RIS? Why is it important? What do we have to do to assure timeliness? The second part will introduce a concep-
tual model of the mission-critical aspects of time, latencies, processes, and events necessary to describe a sy-
stem's behavior. The third part introduces the application state, it's requirements of distribution and coherence, 
and the consequences these requirements have on decoupling and software quality aspects in general. The last 
part introduces some potential solutions to data redundancy, distribution, synchronization, and interoperability.
Along the way, typical and prominent state-of-the-art approaches to reoccurring engineering tasks are discussed. 
This includes pipeline systems, scene graphs, application graphs (aka field routing), event systems, entity and 
component models, and others. Novel concepts like actor models and ontologies will be covered as alternative 
solutions. The theoretical and conceptual discussions will be put into a practical context of today's commercial 
and research systems, e.g., X3D, instant reality, Unity3d, Unreal Engine 4, and Simulator X.","After the course, the students will have a solid understanding of the boundary conditions defined by both, the 
physiological and psychological characteristics of the human users as well as by the architectures and technolo-
gical characteristics of today's computer systems. Participants will gain a solid understanding about what they 
can expect from today's technological solutions. They will be able to choose the appropriate approach and tools 
to solve a given engineering task in this application area and they will have a well-founded basis enabling them 
to develop alternative approaches for future real-time interactive systems.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2018)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Computer Science (2021)
Master's degree (1 major) Computer Science (2023)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): HCI.
Cf. Section 3 Subsection 3 Sentence 8 FSB (subject-specific provisions)."
Logic Programming,10-I=NLP-182-m01,holder of the Chair of Computer Science I,Institute of Computer Science,5,numerical grade,,,,,"Logic-relational programming paradigm, top-down evaluation with SLD(NF) resolution. Introduction to the logic 
programming language Prolog: recursion, predicate-oriented programming, backtracking, cut, side effects, ag-
gregations. Connection to (deductive) databases. Comparison with Datalog, short introduction of advanced con-
cepts like constraint logic programming.","The students have fundamental and practicable knowledge of logic programming. They are able to implement 
compact and declarative programs in Prolog, and to compare this approach to the traditional imperative pro-
gramming paradigm.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): AT, 
SE, IT, IS."
Machine Learning for Natural Language Processing,10-I=MI-161-m01,Dean of Studies Informatik (Computer Science),Institute of Computer Science,5,numerical grade,,,,,"The lecture conveys advanced knowledge about methods in computational text processing. To this end, it pres-
ents state of the art models and techniques in the area of machine learning, as well as their technical back-
ground, and their respective applications in Natural Language Processing. As one important building block of 
almost all modern NLP-models, different techniques for learning representations of words, so called Word Em-
beddings, are presented. Starting from this we cover, among others, models from the area of Deep Learning, li-
ke CNNs, RNNs and Sequence-to-Sequence architectures. The theoretical foundations of these models, like their 
training with Backpropagation, are also covered in depth. For all models presented in the lecture, we show their 
application to problems like sentiment analysis, text generation and machine translation in practice.","The participants have solid knowledge on problems and methods in the area of computational text processing 
and are able to identify and apply suitable methods for a specific task.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)



Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): AT, 
IS, HCI."
Medical Informatics,10-I=PEB-161-m01,holder of the Chair of Computer Science VI,Institute of Computer Science,5,numerical grade,,,,,"Electronic patient folder, coding of medical data, hospital information systems, operation of computers in infir-
mary and functional units, medical decision making and assistance systems, statistics and data mining in medi-
cal research, case-based training systems in medical training.","The students possess theoretical and practical knowledge about the application of computer science methods in 
medicine.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
SE,IT,IS,HCI,GE"
Performance Engineering & Benchmarking of Computer Systems,10-I=PNN-182-m01,holder of the Chair of Computer Science II,Institute of Computer Science,5,numerical grade,,,,,"Introduction to performance engineering of commercial software systems, performance measurement techni-
ques, benchmarking of commercial software systems, modelling for performance prediction, case studies.","The students possess a fundamental and applicable knowledge in the areas of performance metrics, measure-
ment techniques, multi-factorial variance analysis, data analysis with R, benchmark approaches, modelling with 
queue networks, modelling methods, resource demand approximation, petri nets.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Mathematics (2016)
Master's degree (1 major) Computational Mathematics (2016)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)



Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Aerospace Computer Science (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
SE,IT,ES,HCI,GE"
Programming with neural nets,10-I=RO1-182-m01,holder of the Chair of Computer Science VI,Institute of Computer Science,5,numerical grade,,,,,"Overview over NN, implementation of important NN-architectures like FCN, CNN and LSTMs, practical example for 
NN-architectures, among others in the area of image and language processing.","Knowledge about possible applications and limitations of NN, for important architectures (eg. FCN, CNN, LSTM) 
and how they are implemented in NN-tools like Tensorflow/Keras, ability to program network structures from lite-
rature, to prepare data and solve concrete tasks for NN.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2018)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): SE, 
IT, IS, HCI, GE."
Robotics 1,10-I=SSS-172-m01,holder of the Chair of Computer Science VII,Institute of Computer Science,8,numerical grade,,,,,"History, applications and properties of robots, direct kinematics of manipulators: coordinate systems, rotations, 
homogenous coordinates, axis coordinates, arm equation. Inverse kinematics: solution properties, end effec-
tor configuration, numerical and analytical approaches, examples of different robots for analytical approaches. 
Workspace analysis and trajectory planning, dynamics of manipulators: Lagrange-Euler model, direct and inver-
se dynamics. Mobile robots: direct and inverse kinematics, propulsion system, tricycle, Ackermann steering, ho-
lonomes and non-holonome restrictions, kinematic classification of mobile robots, posture kinematic model. 
Movement control and path planning: roadmap methods, cell decomposition methods, potential field methods. 
Sensors: position sensors, speed sensors, distance sensors.","The students master the fundamentals of robot manipulators and vehicles and are, in particular, familiar with 
their kinematics and dynamics as well as the planning of paths and task execution.","V (4) + Ü (2)
Module taught in: English",,--,,240 h,--,--,"Master's degree (1 major) Computer Science (2018)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): IS, 
ES, LR, HCI, GE."
