module title,abbreviation,module coordinator,module offered by,ects,method of grading,completion of modules,duration,module level,other prerequisites,contents,intended learning outcomes,courses,method of assessment,allocation of places,additional information,workload,teaching cycle,referred to in lpo i,module appears in,addititional information
Corporate Entrepreneurship,12-M-UGF2-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module is a theory-led and practice-oriented primer on corporate entrepreneurship. It provides you with 
knowledge useful for anyone aiming at working (or researching) in the field of corporate innovation and entrepre-
neurship or at pursuing an ‘intrapreneurial’ or entrepreneurial career.
(1) Introduction to corporate entrepreneurship
(2) Antecedents and forms of corporate entrepreneurship
(3) Corporate strategy and corporate entrepreneurship
(4) Organizational structure and corporate entrepreneurship
(5) Human resource management and corporate entrepreneurship
(6) Building supportive organizational cultures
(7) Entrepreneurial control systems
(8) Entrepreneurial leadership
(9) The corporate entrepreneur as a champion and diplomat
(10) The pay-off from corporate entrepreneurship
(11) Corporate venture capital
(12) Corporate entrepreneurship in nonprofit and government organizations
(13) Universities and academic spin-offs
(14) Wrap-up and Q&A","Educational aims
• Clarify the role of corporate entrepreneurship
• Explain theoretical concepts and mechanisms behind corporate entrepreneurship
• Enable students to critically appraise alternative approaches to corporate entrepreneurship
• Enable students to evaluate the boundaries and risks of corporate entrepreneurship
Learning outcomes
On successful completion of this module students will be able to:
• Create and evaluate concepts related to corporate entrepreneurship
• Assess the role of corporate entrepreneurship for creating and sustaining competitive advantage
• Make judgements about the organizational and managerial implications of corporate entrepreneurship
• Systematically choose between different routes of action


data record Master (120 ECTS) Management - 2018

Management","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Corporate Strategy,12-M-UGF3-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This theory-led and application-oriented module provides you with critical knowledge and skills related to cor-
porate strategy—essential for anyone aspiring to take on leadership roles in their future career, may it be in the 
private or public sector. The module goes beyond basic knowledge about strategic management provided by ba-
chelor-level modules.
(1) Developing strategies in pursuit of competitive advantage
(2) Corporate diversification
(3) Vertical integration and outsourcing
(4) Mergers & acquisitions
(5) Dynamic strategies
(6) Cooperative strategies
(7) Corporate spin-offs and spin-outs
(8) Internationalization strategies (I)
(9) Internationalization strategies (II)
(10) Strategic change
(11) Corporate strategies and new technologies
(12) Corporate governance and corporate social responsibility
(13) Corporate communication and crisis management
(14) Wrap-up and Q&A","Educational aims
• Clarify the role of corporate strategy
• Explain theoretical concepts and mechanisms behind corporate strategy
• Enable students to critically appraise alternative approaches to corporate strategy
• Enable students to evaluate the boundaries and risks of corporate strategy
Learning outcomes
On successful completion of this module students will be able to:
• Assess the role of corporate strategy for creating and sustaining competitive advantage
• Create and evaluate concepts related to corporate strategy
• Make judgements about the organizational and managerial implications of corporate strategy


data record Master (120 ECTS) Management - 2018

Management

• Systematically choose between different routes of action","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Core Electives, (10 ECTS credits), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Entrepreneurship,12-M-PUGF-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module provides an introduction into digital entrepreneurship and digital transformation. (1) Introduction 
(2) Digital business models (3) Identifying and exploiting opportunities for digital entrepreneurship (4) Strategies 
for creating competitive advantage in digital entrepreneurship (5) Digital marketing for entrepreneurs (6) Crowd-
funding for entrepreneurs (7) Design thinking (8) Lean startup (9) Platform ecosystems and online communities 
(10) Digital strategy and digital transformation (11) The agile organization (12) Crowdsourcing (13) Cyberfraud (14) 
Wrap-up and Q&A","Educational aims: Clarify the role of digital entrepreneurship and digital transformation. Explain theoretical con-
cepts and mechanisms behind digital entrepreneurship and digital transformation. Enable students to critically 
appraise alternative approaches to digital entrepreneurship and digital transformation. Enable students to eva-
luate the boundaries and risks of digital entrepreneurship and digital transformation
Learning outcomes: On successful completion of this module students will be able to (1) Assess the role of di-
gital entrepreneurship and digital transformation for creating and sustaining competitive advantage, (2) Crea-
te and evaluate concepts related to digital entrepreneurship and digital transformation, (3) Make judgements 
about the organizational and managerial implications of digital entrepreneurship and digital transformation, (4) 
Systematically choose between different routes of action.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Human-Computer-Interaction (2018), Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Human-Computer-Interaction (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Project Module Strategic Entrepreneurship,12-M-IBS-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,10,numerical grade,,,,,"This seminar is a primer on academic research. It has been designed to effectively prepare students for conduc-
ting empirical research as part of their master thesis projects. The module starts with a crash course on research 
methods and advanced academic writing. Participants will then choose or otherwise be assigned a research que-
stion. Beyond this background, they select an appropriate research design to address the question at hand. This 
also includes collecting and analyzing primary and/or secondary data, with various datasets being available via 
our Chair and the University Library. In a final step, participants document their research in the form of a smal-
ler-scale academic article and present the approach and essential insights of their research, thereby providing 
an excellent opportunity for mutual learning.","Educational aims
• Help students understand the role of positioning studies and theoretical modelling
• Help students understand the role of different research strategies
• Enable students to critically appraise alternative approaches to collecting and analyzing data
Learning outcomes
On successful completion of this module students will be able to:
• Formulate an adequate research question
• Build tentative theoretical models
• Choose an appropriate research design to test the model
• Document the research in the form of an academic manuscript",S (2),,"12 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,"300 h


data record Master (120 ECTS) Management - 2018",--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
E-Business Strategies,12-M-PROM-182-m01,,Faculty of Business Management and Economics,5,numerical grade,,,,,"The module provides an overview of strategic implications of digital technologies at the level of organisations, 
industries and value networks. To this end, concepts and frameworks from strategic technology management are 
applied to digital innovations and illustrated with numerous examples. In the accompanying exercise, case stu-
dies of well-known digital companies and their business models are analysed and discussed.","- Understand theoretical concepts of strategy development and implementation in the context of digital techno-
logies.
- Apply different frames of reference and understand their strengths and weaknesses in the context of practical 
application.
- Transfer the concepts to real business situations",V (2) + Ü (2),,"40 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , Management",--
Project Management and Control,12-M-AO-182-m01,"Holder of the Chair of Business Management, Management 
Accounting and Control",Faculty of Business Management and Economics,5,numerical grade,,,,,"The module focuses on the discussion and critical examination of instruments and methods used in the context 
of project management and control within enterprises. Both classic and agile approaches to project manage-
ment are considered. It covers characteristic features and structures of projects, their possible success factors, 
methods and instruments of control and management of projects in various project phases. The theoretical basis 
as well as potential applications of these instruments are discussed.","Initially, knowledge about fundamental requirements concerning instruments of project management and con-
trol is acquired. What is more, the module conveys knowledge about strengths and weaknesses and therewith 
fields of application and limits of commonly used instruments and methods of practitioners. Competences wi-
thin the configuration and development of the project management and control as well as skills within the practi-
cal use are obtained.",S (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Incentives in Organizations,12-M-DM1-182-m01,"Holder of the Chair of Human Resource Management and 
Organisation",Faculty of Business Management and Economics,5,numerical grade,,,,,"Based on the classical principal-agent theory, this course discusses methodological and empirical aspects of in-
centives in organisations. It uses contents from advanced text books and original (mainly empirical) research ar-
ticles.
Outline of syllabus
1. Principal-agent theory
2. Do top managers earn too much? (application)
3. Performance-based payment
4. Implementation of performance-based payment in companies (application)
5. Seniority payment (with application)
6. Financial incentives to work after retirement (with application)
7. Efficiency wages (with case study)
8. Team incentives (with case study)","Students acquire a working knowledge of key incentive models models, selected empirical applications and the 
necessary econometric background. This enables them to identify the advantages and disadvantages of different 
incentive systems that are applied in the enterprise context, to make informed management analyses and to cri-
tically evaluate current controversies and developments as well as to conduct their own research.","V (2) + Ü (2)
Module taught in: English",,--,,"150 h


data record Master (120 ECTS) Management - 2018",--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Marketing I,12-M-DM2-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"Digitalization is rapidly changing our lives, including all types of business relationships. Therefore, new opportu-
nities and approaches have emerged in all areas of the marketing mix: Managers can choose from a wide variety 
of new communication channels, such as social media networks, blogs, or messengers, and can engage in influ-
encer marketing and search engine optimization. They increasingly rely on online customer co-creation or crowd-
sourcing and create a wide variety of new digital products and services, often related to completely new busi-
ness models. Through price crawlers and price setting tools customers‘ price search behaviors have significant-
ly changed, requiring new price setting techniques. Artificial intelligence enables managers to automize and op-
timize many of these marketing processes, thus offering new opportunities and challenges for companies. Over-
all, digital marketing offers a tremendous variety of concepts and approaches to seize respective opportunities 
and deal with related challenges, which will be largely highlighted and discussed in this course.","This course provides a broad overview about these new approaches of digital marketing. It explains the underly-
ing concepts of digital marketing and illustrates these approaches and concepts along numerous case studies. 
After attending this course, students will have a broad as well as in-depth understanding of digital marketing 
and its tools. Morever, they will understand of how to implement these tools successfully in business practice.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Marketing II,12-M-EC1-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"Students are required to put themselves in the following business situation:
A large corporation has just recruited you and your team members as the new heads of the marketing depart-
ment in one of the firm’s divisions in order to manage its general and digital marketing activities. Specifically, 
it is your task to manage the corporation’s digital product portfolio, segmentation and positioning as well as its 
marketing mix strategy over a period of 10 years.
Structure of the class:
• Long-term business simulation game (details see below) that students will play in groups
• Lectures and discussion rounds on strategic approaches to succeed over a duration of 10 periods","Studierende lernen in diesem Kurs, zentrale Konzepte des Online- und Offline-Marketings gezielt und bezogen 
auf die jeweilige Unternehmenssituation anzuwenden. Der Kurs bildet somit die Brücke zwischen Theorievermitt-
lung und entsprechende Anwendung in der Unternehmenspraxis.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
E-Commerce I,12-M-KOBO-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"E-commerce is a highly relevant field for almost all types of companies. However, the ecommerce approaches 
and strategies applied by companies differ strongly depending on the respective firm context (e.g., in terms of in-
dustry, types of customers, types of products). In this seminar, students analyze the specific e-commerce strat-
egy of a selected firm. In doing so, they evaluate the strategies’ current and future potential and make suggesti-
ons for improvements and for addressing future trends. Furthermore, each lecture session will contain short pre-
sentations where the students (in groups) will either apply selected lecture topics to real-world business cases 
or present the core aspects of research articles dealing with e-commerce topics in general.","This class enables students to gain insights into real-life e-commerce strategies and to train their abilities in as-
sessing business strategies.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Managerial Accounting, (20 ECTS credits), , Management, , , data record Master (120 ECTS) Management - 2018, , , Core, (10 ECTS credits), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
"Coordination, Budgeting and Incentives in Organizations",12-M-INST-182-m01,"Holder of the Chair of Business Management, Management 
Accounting and Control",Faculty of Business Management and Economics,5,numerical grade,,,,,"This module focuses on accounting-based instruments to control behavior in decentralized enterprises. The 
course first discusses the role of accounting in the context of decision-making and behavioral controlling as well 
as informational analyses. Afterwards, the most common instruments of behavioral controlling (budgeting, va-
lue-oriented management, transfer prices) are discussed with regard to theory and practice.","This module aims to provide knowledge in the context of behavioral control in enterprises. Knowledge about re-
quirements on instruments used for behavioral control are discussed and competences for deployment, struc-
ture and development of coordination tools are provided.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Strategic Managerial Accounting,12-M-AO-182-m01,"Holder of the Chair of Business Management, Management 
Accounting and Control",Faculty of Business Management and Economics,5,numerical grade,,,,,"The module focuses on accounting instruments, which are applied in the context of strategic management of 
enterprises. First, it addresses important drivers of strategic decisions from a microeconomic perspective, such 
as the emergence of cost and quality advantages in competition as well as scale and experience curve effects. 
Second, the module covers analytical and heuristic techniques of planning and control. In the context of these 
techniques, instruments of target costing, life cycle cost analysis, benchmarking and business wargaming are 
discussed with regard to their theoretical foundation and fields of application.","Initially, knowledge about fundamental requirements concerning instruments of decision-making and behavior 
control within enterprises is acquired. What is more, the module conveys obtaining knowledge about the strengt-
hs and weaknesses and therewith fields of application and limits of prevalent instruments of strategic corporate 
management used by practitioners.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Core Electives, (10 ECTS credits), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Incentives in Organizations,12-M-PROM-182-m01,"Holder of the Chair of Human Resource Management and 
Organisation",Faculty of Business Management and Economics,5,numerical grade,,,,,"Based on the classical principal-agent theory, this course discusses methodological and empirical aspects of in-
centives in organisations. It uses contents from advanced text books and original (mainly empirical) research ar-
ticles.
Outline of syllabus
1. Principal-agent theory
2. Do top managers earn too much? (application)
3. Performance-based payment
4. Implementation of performance-based payment in companies (application)
5. Seniority payment (with application)
6. Financial incentives to work after retirement (with application)
7. Efficiency wages (with case study)
8. Team incentives (with case study)","Students acquire a working knowledge of key incentive models models, selected empirical applications and the 
necessary econometric background. This enables them to identify the advantages and disadvantages of different 
incentive systems that are applied in the enterprise context, to make informed management analyses and to cri-
tically evaluate current controversies and developments as well as to conduct their own research.","V (2) + Ü (2)
Module taught in: English",,--,,"150 h


data record Master (120 ECTS) Management - 2018",--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Project Management and Control,12-M-REKA-182-m01,"Holder of the Chair of Business Management, Management 
Accounting and Control",Faculty of Business Management and Economics,5,numerical grade,,,,,"The module focuses on the discussion and critical examination of instruments and methods used in the context 
of project management and control within enterprises. Both classic and agile approaches to project manage-
ment are considered. It covers characteristic features and structures of projects, their possible success factors, 
methods and instruments of control and management of projects in various project phases. The theoretical basis 
as well as potential applications of these instruments are discussed.","Initially, knowledge about fundamental requirements concerning instruments of project management and con-
trol is acquired. What is more, the module conveys knowledge about strengths and weaknesses and therewith 
fields of application and limits of commonly used instruments and methods of practitioners. Competences wi-
thin the configuration and development of the project management and control as well as skills within the practi-
cal use are obtained.",S (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Accounting and Capital Markets,12-M-DSS-161-m01,"Holder of the Chair of Business Management, Management 
Accounting and Control",Faculty of Business Management and Economics,5,numerical grade,,,,,"The module focuses on financial and management accounting, their functions, possible configurations as well 
as their impact on internal and external recipients under consideration of the institutional setting. In this con-
text, an economic perspective has priority over detailed legal arrangements and regulations by the standard set-
ters. Based on the theoretical foundations of information economics as well as decision-making and balance 
sheet theories, typical issues concerning cost and managerial accounting as well as financial accounting and pu-
blicity are discussed.","Initially, a fundamental knowledge about the conception and impact of management and financial accounting 
as information systems is acquired. In the following, the module mainly sharpens the understanding of the eco-
nomic impacts of the configuration of management and financial accounting. What is more, extensive knowled-
ge about possible impacts of changes in institutional general frameworks is covered. For example, changes in 
valuation standards, publicity rules or regulations about the distribution of profits in enterprises and on capital 
markets are considered.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Decision Support Systems,12-M-GA-221-m01,Holder of the Chair of Business Analytics,Faculty of Business Management and Economics,5,numerical grade,,,,,"The course discusses advanced approaches for modelling and solving decision problems in business settings. 
The acquired insights are used to design and implement decision support systems using standard software tools 
(Python).","After successfully completing the course, students should be able to
• Understand the structure of classic business decision problems
• Isolate key elements from general problem descriptions and convert them to quantitative decision models
• Solve  different  classes  of  optimization  problems  (linear,  network,  integer,  multi-objective,  non-linear, 
stochastic)
• Implement decision support systems",V (2) + Ü (2),,"40 places. Should the number of applications exceed the number of available places, places will be allocated as 
consideration. (2) The remaining places will be allocated to students of other subjects. (3) When places are allo-
cated in accordance with (1) and (2) and the number of applications exceeds the number of available places, pla-
ces will be allocated by lot among applicants from this group.",,150 h,--,--,"Master's degree (1 major) Economathematics (2016), Master's degree (1 major) Business Management (2015), Master's degree (1 major) China Business and Economics (2016), Master's degree (1 major) International Economic Policy (2015), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Language and Economy (2016), Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Group Accounting,12-M-ER-161-m01,--,Faculty of Business Management and Economics,5,numerical grade,,,,,--,--,"V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
"Advanced Financial Accounting (German GAAP, IFRS)",12-M-CHA-182-m01,Holder of the Chair of Financial Accounting,Faculty of Business Management and Economics,5,numerical grade,,,,,"Large and mostly multinational companies are key players in our globalized economy. A wide variety of interest 
groups, such as investors, need access to reliable information about the economic activities of these increasin-
gly complex companies to make the right decisions. To contribute to a better functioning of capital markets in 
the European Union, publicly traded companies have to apply a single set of international accounting standards 
to prepare their consolidated financial statements. This module covers the necessary steps to prepare and inter-
pret consolidated financial statements under IFRS (International Financial Reporting Standards). It provides stu-
dents with a systematic approach and interpretation of group accounting according to international rules. In par-
ticular, the module coveys the basic principles of group accounting and an in-depth knowledge of relevant stan-
dards. Students get to know different types of company mergers, acquisitions, and investments and the corre-
sponding accounting methods. They will learn about the relevance of consolidated financial statements, how to 
identify groups and understand the consolidation process. In addition, various recent topics of group accounting 
are covered, e. g., positive and negative goodwill, non-controlling interests, intra-group transactions, and good-
will impairment.","Students understand the key concepts and elements of group accounting under IFRS (International Financial Re-
porting Standards). They also have an in-depth knowledge of the steps necessary to prepare and interpret con-
solidated financial statements following international accounting rules. In particular, students can recognize the 
need for consolidated financial statements, solve relevant consolidation problems, and critically evaluate conso-
lidated financial statements.",Ü (2) + V (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Business Management (2015), Master's degree (1 major) China Business and Economics (2016), Master's degree (1 major) International Economic Policy (2015), Master's degree (1 major) China Language and Economy (2016), Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Change Management,12-M-AOLM-182-m01,"Holder of the Chair of Business Management, Management 
Accounting and Control",Faculty of Business Management and Economics,5,numerical grade,,,,,"Within the module, theoretical basics of change management are covered. In addition, we present and jointly 
analyze existing change projects in detail. We try to answer related questions, too. For example, the module dis-
cusses how to involve stakeholders in change, what motivates them to embrace change, and whether participa-
tion is a universal principle. The module covers projects like merging two departments, restarting a department 
with team building, conducting an employee survey, or developing a new mission statement. The majority of the 
projects are taken from the social sector, but can be transferred to industry and SMEs.","After participating the lecture, students will be able to understand the occurrence of resistance and massive 
emotional reactions in change processes. Change processes can be critically analyzed and the use of typical in-
struments in change processes can be questioned. Students are able to identify the typical pitfalls and hurdles 
in these processes and are able to use their knowledge for own future projects as well as to create their own so-
lutions in change processes.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), , Management, , , data record Master (120 ECTS) Management - 2018, , , Logistics and Supply Chain Management, (20 ECTS credits), , Management, , , data record Master (120 ECTS) Management - 2018, , , Core, (10 ECTS credits), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
